name,brewery,percentage,volume
Brasserie d'Achouffe,Brasserie d'Achouffe,9,330
SP68 Rosso,Arianna Occhipinti,12.5,750
Brugse Zot,De Halve Maan,6,750
Domaine Breavoine,Cidres & Calvados Michel Breavoine,4.5,750
Passi di Orma,Poderi Orma srl,14.5,750
Newton Johnson,Newton Johnson Vineyards,13.5,750
Pet Nat Miao,Viña Echeverria,13,750
Derthona,La Colombera,14,750
Bergslagens Dolomit,Bergslagens Destilleri Örebro,46,500
Avondale,Avondale,14.5,750
Damana,Bodegas y Viñedos Tábula,14.5,750
Viña Pedrosa,Bodegas Hnos Pérez Pascuas,14.5,750
A Tribute to Grace,A Tribute To Grace Wine Company,14,750
Domaine Montirius,Domaine Montirius,14.5,750
Schladerer Wald Himbeergeist,Alfred Schladerer Schwartzwälder Hausbrennerei GmbH,42,700
Eau de Vie de Prune Vieille,Distillerie du Périgord,42,700
Keller Limestone Riesling,Weingut Keller,8,750
Creation,Creation Wines,13.5,750
Buen Vato,Tequila Selecto de Amatitan,38,700
Ängöl,Ängöl,10,330
Vranac,Monastery Tvrdos,15,750
NIKKA,The Nikka Whisky Distilling Co,43,700
Villa Maria Cellar Selection,Villa Maria Estate,14,750
Rudgate Brewery,Rudgate Brewery,4,500
Vouvray,Domaine Vincent Careme,13,750
Ten Fidy,Oskar Blues Brewery,10.5,355
Canediguerra,Canediguerra CDG,4.3,330
Revolution white maceration,Bioweingut Johannes Zillinger,12.5,750
Loimer,Weingut Loimer,12.5,750
Overtone Brewing Co,Overtone Brewing Co,10,440
Oppigårds,Oppigårds Bryggeri,10.5,330
Vietti,Vietti s.r.l.,5,750
Talisker,Talisker,45.8,700
Marolo Grappa di Barolo Aldo Conterno,Distilleria Santa Teresa Fratelli Marolo s.r.l,45,500
Trimbach,Trimbach,13.5,750
Cider BRUT,Pomologik,4.5,750
Dalva,Silva Vinhos Lda,20,750
Dönnhoff,Weingut Dönnhoff,11.5,750
Cidre Nouveau,Pomologik,4.5,750
Vault City,Vault City Brewing Ltd.,5,440
Aphros Phaunus,Adega Aphros Wine,11,750
Inner City,Inner City Brewing,6.4,473
Replicant,Pomologik,4.5,750
Cocky Crane,Cocky Crane Cidery,4.5,750
Pilton Cider,Pilton Cider,5.5,750
Stigbergets,Stigbergets Bryggeri,12,440
Cune Imperial,Compañia Vinicola del Norte de España,14,750
Pilton,Pilton Cider,4.5,750
Omnipollo,Omnipollo AB,14.2,330
Skepparps Grand Prix,Skepparps Vingård,12,750
Ledaig Sinclair Series,Distell International,46.3,700
Benromach,Benromach Distillery,46,700
Spirit of Hven,Backafallsbyn AB, Spirit of Hven,48.6,500
Maglehem,Maglehems musteri,43,500
Glenmorangie,Glenmorangie,46,700
La Muse Papilles,Domaine Montirius,14,1500
Spirit of Hven,Backafallsbyn AB, Spirit of Hven,46.8,500
Harbour collection 02,High Coast Distillery,51,500
Spirit of Hven,Backafallsbyn AB, Spirit of Hven,50.1,500
Bourgueil Trinch,Domaine Catherine et Pierre Breton,12.5,750
La Cattiva,Masseria La Cattiva,11,250
Caol Ila,Caol Ila Distillery,43,700
Golden Cider,Golden Cider Company AB,4.5,750
High Coast,High Coast Distillery,56,500
Triton,Destihl Brewery,12,473
Kelman,Juliana Kelman Unipessoal Lda,13.5,750
Some Days Are Diamonds,Pernod Ricard Winemakers Australia,11,750
In touch,Pilton Cider,5.5,750
Gauloise Brune,Brasserie du Bocq,8.1,330
Harrow & Hope,Harrow & Hope,12,750
The Glenrothes,The Edrington Group,48.8,700
Sierra Nevada,Sierra Nevada Brewing,11.9,473
Muscat de Beaumes de Venise,Domaine de la Pigeade,15,375
Lambrusco del Fondatore,Cleto Chiarli Società Agricola,11.5,750
Evan Williams,Heaven Hill,43.3,700
El Burro,Bodega Santa Julia,14.5,750
Omnipollo,Omnipollo AB,6,440
Confidences de Prieuré-Lichine,Château Prieuré-Lichine,14.5,750
Agitator,Agitator Whiskymakare,46,700
Dog Point,Dog Point Vineyards,13,750
Sercial 15 Years Old,Henriques & Henriques,20,750
Longitude Premier Cru Blanc de blancs,Larmandier-Bernier,12.5,750
Stigbergets,Stigbergets Bryggeri,13,440
Lagavulin,Lagavulin Distillery,48,700
Krecher,Krecher AS,6.8,330
Azvex,Azvex Brewing Company,5.7,440
Château Rahoul,Vignobles Dourthe,12.5,750
Oskar Blues,Oskar Blues Brewery,12.5,355
Omnipollo x Other Half,Omnipollo,8.2,440
Torabhaig Allt Gleann,Torabhaig Distillery,46,700
Ostindia 1733 Arrak,Facile & Co,40,500
Clown Shoes,Clown Shoes Beer,11,355
Valpolicella Ripasso Superiore,Vini Pietro Clementi,14.5,750
Hendrick's,William Grant & Sons,43.4,700
Philipponnat,Philipponnat,12.5,750
Dominio del Aguila,Dominio del Aguila,14,750
Bländande Svensk Blended Malt Whisky,Backafallsbyn AB, Spirit of Hven,55.5,500
Rom Malecon,Bodegas de America,51.2,700
I Cipressi Nizza,Michele Chiarlo,14.5,750
High Coast,High Coast Distillery,48.8,500
Harbour coll 03 Lunde,High Coast Distillery,51,500
Basserman-Jordan,Geheimer Rat Dr. von Bassermann-Jordan,12,750
Fèlsina,Fèlsina Spa,14,375
Veronica Ortega,Veronica Ortega Camacho,12,750
Gran Faustino I,Bodegas Faustino,13.5,750
Family Becker,Weingut Friedrich W. Becker,13.5,375
AleSmith Brewing Company,AleSmith Brewing Company,6.5,473
Garage Beer,Garage Beer Co,7.2,440
Tim Adams Semillon,Tim Adams Wines,12,750
Askesäng,Kullabergs Vingård,12.5,750
Naranjo,Vino y Turismo del Maule Salvaje SPA,12,750
Finca Feliz Tesoro,Bodega Clément,14.5,750
Domaine d'Aupilhac,Domaine d'Auphilac,13,750
Catch my Beat,Spike Brewery,6.4,440
Mikkeller,Mikkeller,7.5,473
Juliusspital,Juliusspital,12.5,750
Sybille Kuntz,Weingut Sybille Kuntz,12.5,750
Sagace,Sagace,13.5,1500
Charles Mignon,Champagne Charles Mignon,12.5,750
Brother Thelonious,North Coast Brewing Company,9.4,355
Dandelion Vineyards,Dandelion Vineyards,14.5,750
Stigbergets British Folk Invasion,Stigbergets Bryggeri,3.6,440
Bassermann-Jordan,Geheimer Rat Dr. von Bassermann-Jordan,13,750
Amarone della Valpolicella,Massimago,16,750
Dugges,Dugges Bryggeri,16,500
Craggy Range Te Muna,Craggy Range,12.5,750
Wassmann,WASSMANN PINCE BT,13.5,750
Rayos Uva,Olivier Riviere,14,750
Rum Nation,Rossi & Rossi,50,700
Terres Dorées,Terres Dorées,12.5,750
Airlie Bank,Punt Road Wines,12,750
Tutto Anfora Bianco,La Ginestraia,12,750
Pühaste Tumeaine Coffee,Puhaste Pruulikoda OU,11,330
Nepomucen,Browar Nepomucen Sp. z o.o.,8.8,500
Basqueland Brewing,Basqueland Brewing Company,6.8,440
pip-pip,Rolling Green Hills Limited,12,750
Untitled Art Brewing,Octopi / Untitled Art,5,473
Brasserie de la Senne,Brasserie De La Senne,6.5,330
Time & Tide,Time and Tide Brewing Co,5.9,440
AleSmith Brewing Company,AleSmith Brewing Company,12,473
Stigbergets,Stigbergets Bryggeri,6.5,440
Lapostolle Pisco,Lapostolle,40,700
Žutina Orange,Djuce Wines GmbH,12,250
Karthäuserhof,Weingut Karthäuserhof,11.5,750
Cosimo Maria Masini,Cosimo Maria Masini,12.5,1500
Barolo Chinato Borgogno,Giacomo Borgogno & Figli,16,500
Harpoon,Harpoon Brewey,5.7,355
Macchiona,Azienda Vitivinicola La Stoppa di Elena Pantaleoni,14.5,750
Catena,Bodega Catena Zapata,13.5,750
Group Dynamic Gluten Free,Lervig Aktiebryggeri,7.7,330
Rupestre,Azienda Agricola Menegola Walter,13.5,750
Casa Castillo,Casa Castillo,15,750
Dugges,Dugges Bryggeri,14.8,500
Alta Alella Mirgin Opus,Alta Alella,12,750
Ohishi,Ohishi Distillery,42.3,700
Kracher Noble Reserve,Kracher Fine Wine GmbH,9,187
Råå von Pilsen,Råå Bryggeri,4.5,330
Vino Volta,Wine Terroirists,13,750
Ridgetop Red Ale,Silver City Brewing,5.9,355
Haunted House,Allagash Brewing Company,6.6,473
The Kernel Brewery London,The Kernel Brewery,7.4,330
Viñedos Lo Abarca No. 2,Viña Casa Marin,13.5,750
Duckpond x Poppels,DuckPond Brewing,9,330
Killer Red,Killer Red,14.5,750
Tyler,Tyler Winery,12.5,750
Cider State of Mind,Pomologik,6.9,750
Bonneterre,Thierry Germain,12.5,750
Two Lights,Allagash Brewing Company,6.7,473
Bouchon,Bouchon Winery,12,750
Cloudwater,Cloudwater Brew Co,8,440
Aphros Phaunus,Adega Aphros Wine,10.5,750
Vecchie Vigne Verdicchio Classico Superiore,Umani Ronchi,13.5,750
Lanson,Lanson,12.5,750
Riesling Im Pitterberg GG,Kruger-Rumpf,12.5,750
Connecticut Valley,Connecticut Valley Brewing Company,5.8,473
Brancaia,Casa Brancaia,14.5,750
Evil Twin,Evil Twin Brewing,11.8,473
Tamboerskloof Syrah,Kleinood,14,750
Brännland Iscider,Brännland Cider,12,500
Anderson Valley,Anderson Valley Brewing,9.5,355
Dolcetto d'Alba,Luigi Pira,14,750
Salama Brewing Company,Salama Brewing Company,10.8,440
Savennières,Château de Chamboureau,13.5,750
Boon Oude Geuze,Brouwerij Boon,7,750
Sierra Nevada,Sierra Nevada Brewing,6.8,355
Griffin Claw,Griffin Claw Brewing Company,5,473
Bernkasteler Badstube Spätlese,Weingut Markus Molitor,10.5,750
P.F. Bobal,Bodegas y Viñedos Ponce,13,750
Track Brewing,Track Brewing Company Limited,12.5,440
Foggy Day,Overtone Brewing Co,4,440
Fitapreta,Fitapreta Vinhos,12.5,750
Kalamite,La Grange du Nord,12.5,750
Wander Beyond Brewing,Wander Beyond Brewing,11,440
Gramp's,Pernod Ricard Winemakers Australia,10.1,375
Great Swedish Festival Beer,Brekeriet Beer,4.4,330
Winter Red IPA,Destihl Brewery,6.5,473
Silkie Stouts,Loch Lomond Brewery,5,440
Vouvray Brut,Domaine Vincent Careme,13,750
Omnipollo x Trillium,Omnipollo AB,8.6,440
AleSmith Brewing Company,AleSmith Brewing Company,6.7,473
Monkey Brew,Monkey Brew,8,440
Apex,Apex Brewing CO,8,440
Buxton Salvio Islay,Buxton Brewery,15.3,330
Small Wonder Chardonnay,Small Wonder,12.7,750
Châteauneuf-du-Pape Cuvée Réservée,André Brunel,14,750
La Cattiva,Masseria La Cattiva,11,250
Sierra Nevada,Sierra Nevada Brewing,7,355
Ata Rangi,Ata Rangi,14,750
Las Cañas,Hacienda Las Cañas,12.5,750
Brouwerij De Plukker,Brouwerij De Plukker,5.5,330
Keermont Terrasse,Keermont Vineyards,14,750
Mikkeller,Mikkeller,4.9,330
Smith Street,Smith Street Brew,4.8,330
Château de Fesles,Château de Fesles,12.5,375
Halmstad Crush,Krönleins,4.5,330
Moersleutel Craft Brewery,Moersleutel Craft Brewery,15,440
Sybille Kuntz,Weingut Sybille Kuntz,13,750
Aphros,Adega Aphros Wine,10.5,750
Naparbier,Naparbier,6.9,440
Flying Monkeys,Flying Monkeys Craft Brewery,10,473
Rue B Soho,Ska Brewing,5,355
Viña Bosconia,R López de Heredia Viña Tondonia,13.5,750
La Estrecha,Bodegas y Viñedos Ponce,12.5,750
Barolo,Vigneti Luigi Oddero & Figli SSA,14.5,750
Oude Beersel,Brouwerij Oud Beersel,5,3100
Fuller's Vintage Ale,The Fuller´s Beer Company,8.5,500
Collective Arts,Collective Arts,4.5,473
Single Malt,East London Liquor Company,47,700
Revolution,Revolution Brewing Co,6.8,473
Amundsen in Cafruits,Amundsen Bryggeri AS,6.5,440
Strength In Numbers,Rooster's Brewing Co,7,440
Salikatt,Salikatt Bryggeri,8,440
Neon Raptor,Neon Raptor,13,440
On the Wings of Armageddon,DC Brau Brewing Company,9.2,355
Saint-Réol,Champagne Saint Reol,12.5,750
Josetta Saffirio,Josetta Saffirio,14,1500
Revolution,Revolution Brewing Co,7.5,355
NIKKA,The Nikka Whisky Distilling Co,43,700
Doniene Gorrondona,Doniene Gorrondona,13,750
Omnipollo,Omnipollo AB,6,330
Pouilly-Fuissé Premier Cru Vers Cras,Domaine Cordier,13.5,750
North Brewing x Cloudwater,North Brewing Co,5,440
Nya Carnegiebryggeriet,Nya Carnegiebryggeriet,5,330
Beerbliotek,Beerbliotek,4.2,330
Track Brewing,Track Brewing Company Limited,6.5,440
Popihn,Brasserie Popihn,6.5,440
Lervig,Lervig Aktiebryggeri,8,330
To Øl,To Øl City,10.5,440
Gramona,Gramona,12,750
Château Cantemerle,Château Cantemerle,13.5,750
Weingut Beurer,Weingut Beurer,13,1500
Pomologik,Pomologik,4.5,250
Oud Beersel,Oud Beersel Brewery,6,3100
Raspberry & White Chocolate Milkshake IPA,The Black Sheep Brewery,5.3,440
Purity,Purity Brewing Co,6.8,440
Village,Village Brewery,5.5,355
I'm With Stupid,Omnipollo,7.1,440
AleSmith Brewing/Pizza Port Brewing,AleSmith Brewing Company,6.9,473
Bosman,Bosman Adama t/a Bosman Family Vineyards,11.5,750
Oud Beersel,Oud Beersel Brewery,6.8,3100
Black Cat,Black Cat Brewery,5,330
Mikkeller,Mikkeller,13,473
Progress DIPA,Hyllie Bryggeri,8,330
Pietramore,Antica Cantina Pietramore,12.5,750
